column_name,data_type,is_nullable
businessentityid,integer,YES
title,character varying,YES
firstname,character varying,YES
middlename,character varying,YES
lastname,character varying,YES
suffix,character varying,YES
jobtitle,character varying,YES
phonenumber,character varying,YES
phonenumbertype,character varying,YES
emailaddress,character varying,YES
emailpromotion,integer,YES
addressline1,character varying,YES
addressline2,character varying,YES
city,character varying,YES
stateprovincename,character varying,YES
postalcode,character varying,YES
countryregionname,character varying,YES
territoryname,character varying,YES
territorygroup,character varying,YES
salesquota,numeric,YES
salesytd,numeric,YES
saleslastyear,numeric,YES
