name,jobtitle,grouping_level,employee_count
Finance,Accountant,Detail,2
Finance,Accounts Manager,Detail,1
Finance,Accounts Payable Specialist,Detail,2
Finance,Accounts Receivable Specialist,Detail,3
Finance,Assistant to the Chief Financial Officer,Detail,1
Finance,Finance Manager,Detail,1
Finance,All Job Titles,Department Total,10
Production Control,Master Scheduler,Detail,1
Production Control,Production Control Manager,Detail,1
Production Control,Scheduling Assistant,Detail,4
Production Control,All Job Titles,Department Total,6
All Departments,All Job Titles,Grand Total,16
