sales_year,rn
2022,23
2022,13
2022,18
2022,2
2022,17
2022,10
2022,21
2022,29
2022,16
2022,9
2022,7
2022,24
2022,19
2022,4
2022,22
2022,25
2022,15
2022,30
2022,20
2022,11
2022,28
2022,26
2022,14
2022,6
2022,5
2022,1
2022,27
2022,12
2022,3
2022,8
2023,4
2023,44
2023,5
2023,27
2023,7
2023,31
2023,40
2023,28
2023,32
2023,15
2023,25
2023,22
2023,23
2023,34
2023,51
2023,9
2023,18
2023,29
2023,35
2023,6
2023,1
2023,13
2023,8
2023,50
2023,2
2023,3
2023,33
2023,12
2023,41
2023,46
2023,16
2023,42
2023,39
2023,36
2023,17
2023,47
2023,49
2023,10
2023,45
2023,20
2023,11
2023,19
2023,37
2023,43
2023,48
2023,30
2023,26
2023,38
2023,24
2023,14
2023,21
2024,59
2024,53
2024,60
2024,36
2024,2
2024,57
2024,31
2024,4
2024,42
2024,25
2024,52
2024,30
2024,24
2024,51
2024,15
2024,50
2024,29
2024,44
2024,40
2024,48
2024,43
2024,61
2024,58
2024,35
2024,7
2024,55
2024,17
2024,14
2024,12
2024,11
2024,21
2024,56
2024,19
2024,33
2024,62
2024,28
2024,13
2024,20
2024,8
2024,3
2024,46
2024,65
2024,64
2024,34
2024,26
2024,16
2024,47
2024,63
2024,1
2024,27
2024,45
2024,5
2024,18
2024,39
2024,38
2024,41
2024,23
2024,10
2024,32
2024,6
2024,54
2024,9
2024,37
2024,49
2024,22
2025,15
2025,16
2025,6
2025,9
2025,13
2025,7
2025,10
2025,5
2025,4
2025,8
2025,14
2025,2
2025,17
2025,1
2025,11
2025,12
2025,3
