table_name,table_schema
employeenameview,humanresources
address,person
stateprovince,person
businessentityaddress,person
addresstype,person
businessentity,person
person,person
businessentitycontact,person
contacttype,person
emailaddress,person
password,person
phonenumbertype,person
countryregion,person
employee,humanresources
department,humanresources
employeedepartmenthistory,humanresources
personphone,person
employeepayhistory,humanresources
jobcandidate,humanresources
document,production
billofmaterials,production
shift,humanresources
productsubcategory,production
culture,production
productcategory,production
productdescription,production
productmodel,production
product,production
productcosthistory,production
productdocument,production
location,production
productinventory,production
illustration,production
productphoto,production
productmodelproductdescriptionculture,production
productmodelillustration,production
productproductphoto,production
productreview,production
unitmeasure,production
purchaseorderheader,purchasing
transactionhistoryarchive,production
productvendor,purchasing
purchaseorderdetail,purchasing
shipmethod,purchasing
transactionhistory,production
workorder,production
scrapreason,production
workorderrouting,production
countryregioncurrency,sales
currency,sales
currencyrate,sales
salespersonquotahistory,sales
creditcard,sales
customer,sales
personcreditcard,sales
vendor,purchasing
salesorderheader,sales
salesorderdetail,sales
salesperson,sales
salesorderheadersalesreason,sales
store,sales
salesterritory,sales
salestaxrate,sales
specialofferproduct,sales
salesreason,sales
salesterritoryhistory,sales
shoppingcartitem,sales
specialoffer,sales
productlistpricehistory,production
vemployee,humanresources
vadditionalcontactinfo,person
vemployeedepartment,humanresources
vemployeedepartmenthistory,humanresources
vindividualcustomer,sales
vpersondemographics,sales
vjobcandidate,humanresources
vjobcandidateemployment,humanresources
vjobcandidateeducation,humanresources
vstorewithdemographics,sales
vproductmodelcatalogdescription,production
vproductmodelinstructions,production
vsalesperson,sales
vsalespersonsalesbyfiscalyearsdata,sales
vsalespersonsalesbyfiscalyears,sales
vstorewithcontacts,sales
bec,pe
vstorewithaddresses,sales
vvendorwithcontacts,purchasing
vvendorwithaddresses,purchasing
a,pe
at,pe
be,pe
bea,pe
ct,pe
cr,pe
e,pe
pa,pe
p,pe
pp,pe
pnt,pe
sp,pe
d,hr
e,hr
edh,hr
eph,hr
jc,hr
s,hr
bom,pr
c,pr
d,pr
i,pr
l,pr
p,pr
pc,pr
pch,pr
pd,pr
pdoc,pr
pi,pr
plph,pr
pm,pr
pmi,pr
pmpdc,pr
pp,pr
ppp,pr
pr,pr
psc,pr
sr,pr
th,pr
tha,pr
um,pr
w,pr
wr,pr
pv,pu
pod,pu
poh,pu
sm,pu
v,pu
crc,sa
cc,sa
cu,sa
cr,sa
c,sa
pcc,sa
sod,sa
soh,sa
sohsr,sa
sp,sa
spqh,sa
sr,sa
tr,sa
st,sa
sth,sa
sci,sa
so,sa
sop,sa
s,sa
